id,year,effyear,y,logy,w,x1,x2
13,2011,,57.339092,4.0489826,0,14,0
13,2012,,63.531178,4.1515307,0,14,0
13,2013,,59.955933,4.0936098,0,14,0
13,2014,,83.946693,4.430182,0,14,0
13,2015,,69.97039,4.2480721,0,14,0
13,2016,,63.130173,4.1451988,0,14,0
17,2011,,76.907669,4.3426056,0,13,0
17,2012,,53.683231,3.9831007,0,13,0
17,2013,,77.937477,4.355907,0,13,0
17,2014,,50.621578,3.9243779,0,13,0
17,2015,,48.411247,3.8797321,0,13,0
17,2016,,72.715065,4.2865486,0,13,0
18,2011,,3.284883,1.1893311,0,12,0
18,2012,,3.6916876,1.3060837,0,12,0
18,2013,,4.5993252,1.5259095,0,12,0
18,2014,,4.7041669,1.5484487,0,12,0
18,2015,,2.572077,.94471377,0,12,0
18,2016,,4.6930132,1.5460749,0,12,0
45,2011,,11.410318,2.4345181,0,12,0
45,2012,,15.903551,2.7665424,0,12,0
45,2013,,13.216064,2.5814331,0,12,0
45,2014,,10.547608,2.3558991,0,12,0
45,2015,,9.5026073,2.2515662,0,12,0
45,2016,,15.336547,2.7302387,0,12,0
110,2011,,5.8216691,1.761587,0,12,0
110,2012,,8.7631788,2.1705587,0,12,0
110,2013,,8.6035604,2.1521761,0,12,0
110,2014,,11.692258,2.4589269,0,12,0
110,2015,,9.8111477,2.2835193,0,12,0
110,2016,,8.0784559,2.0892007,0,12,0
120,2011,,11.371122,2.431077,0,10,0
120,2012,,8.5175982,2.1421344,0,10,0
120,2013,,7.7885613,2.0526562,0,10,0
120,2014,,10.155726,2.3180377,0,10,0
120,2015,,7.5874906,2.0265009,0,10,0
120,2016,,7.9179254,2.0691292,0,10,0
126,2011,,12.161089,2.4982414,0,13,0
126,2012,,18.853951,2.9367225,0,13,0
126,2013,,14.83954,2.6972952,0,13,0
126,2014,,18.440298,2.9145384,0,13,0
126,2015,,18.351868,2.9097314,0,13,0
126,2016,,17.179375,2.8437095,0,13,0
150,2011,,3.627259,1.2884773,0,12,0
150,2012,,2.7466598,1.0103855,0,12,0
150,2013,,3.4074547,1.2259656,0,12,0
150,2014,,3.773917,1.3281134,0,12,0
150,2015,,3.9554605,1.375097,0,12,0
150,2016,,3.4128075,1.2275352,0,12,0
162,2011,,4.0820169,1.4065912,0,11,0
162,2012,,5.2189589,1.652298,0,11,0
162,2013,,6.6641026,1.8967353,0,11,0
162,2014,,6.3102503,1.8421754,0,11,0
162,2015,,5.1478605,1.6385812,0,11,0
162,2016,,7.2789626,1.9849883,0,11,0
166,2011,2014,26.9137,3.2926354,0,10,0
166,2012,2014,32.009254,3.4660251,0,10,0
166,2013,2014,23.239159,3.1458387,0,10,0
166,2014,2014,36.675201,3.6021008,1,10,0
166,2015,2014,40.725002,3.7068422,1,10,0
166,2016,2014,41.277031,3.7203062,1,10,0
189,2011,,19.352207,2.9628065,0,14,0
189,2012,,17.189974,2.8443263,0,14,0
189,2013,,20.294827,3.010366,0,14,0
189,2014,,29.023314,3.3680995,0,14,0
189,2015,,12.578615,2.5319982,0,14,0
189,2016,,23.096495,3.1396809,0,14,0
193,2011,,11.115489,2.4083395,0,14,0
193,2012,,14.784174,2.6935573,0,14,0
193,2013,,10.5409,2.355263,0,14,0
193,2014,,10.210163,2.3233836,0,14,0
193,2015,,8.7561197,2.1697528,0,14,0
193,2016,,18.069201,2.8942089,0,14,0
209,2011,,1.4458658,.36870828,0,11,0
209,2012,,2.5792749,.94750828,0,11,0
209,2013,,1.7291471,.54762828,0,11,0
209,2014,,2.7300515,1.0043205,0,11,0
209,2015,,2.0352051,.71059662,0,11,0
209,2016,,1.9775028,.68183488,0,11,0
212,2011,,12.431767,2.5202551,0,11,0
212,2012,,11.926785,2.4787867,0,11,0
212,2013,,12.275122,2.5075746,0,11,0
212,2014,,10.117573,2.3142738,0,11,0
212,2015,,14.250781,2.6568117,0,11,0
212,2016,,13.527538,2.6047275,0,11,0
218,2011,,56.142738,4.0278974,0,15,0
218,2012,,69.061951,4.2350039,0,15,0
218,2013,,52.18779,3.9548485,0,15,0
218,2014,,31.098892,3.4371722,0,15,0
218,2015,,46.212223,3.8332443,0,15,0
218,2016,,68.418427,4.2256422,0,15,0
243,2011,,15.521392,2.7422192,0,12,0
243,2012,,17.137209,2.8412521,0,12,0
243,2013,,33.693153,3.5172946,0,12,0
243,2014,,22.763678,3.1251662,0,12,0
243,2015,,18.762674,2.9318695,0,12,0
243,2016,,17.048346,2.8360531,0,12,0
259,2011,2014,7.7848892,2.0521846,0,12,0
259,2012,2014,10.01248,2.3038323,0,12,0
259,2013,2014,7.2978783,1.9875836,0,12,0
259,2014,2014,9.7821665,2.280561,1,12,0
259,2015,2014,10.845872,2.3837845,1,12,0
259,2016,2014,7.3679476,1.9971392,1,12,0
260,2011,,13.635515,2.6126778,0,11,0
260,2012,,9.2878475,2.2287068,0,11,0
260,2013,,10.037,2.3062782,0,11,0
260,2014,,14.374681,2.6654685,0,11,0
260,2015,,9.8053551,2.2829287,0,11,0
260,2016,,12.52048,2.5273657,0,11,0
309,2011,,5.3818331,1.6830291,0,12,0
309,2012,,6.9425907,1.937675,0,12,0
309,2013,,4.254662,1.4480153,0,12,0
309,2014,,5.6216097,1.7266181,0,12,0
309,2015,,5.7234468,1.7445712,0,12,0
309,2016,,6.2355728,1.8302704,0,12,0
351,2011,,5.5573268,1.7151172,0,12,0
351,2012,,3.9150705,1.3648334,0,12,0
351,2013,,5.321763,1.6718047,0,12,0
351,2014,,5.6160383,1.7256265,0,12,0
351,2015,,6.5569448,1.8805248,0,12,0
351,2016,,5.5399466,1.7119849,0,12,0
353,2011,,34.231094,3.5331345,0,12,0
353,2012,,25.906254,3.2544844,0,12,0
353,2013,,22.47916,3.1125886,0,12,0
353,2014,,32.623039,3.4850187,0,12,0
353,2015,,31.010185,3.4343157,0,12,0
353,2016,,36.452366,3.5960064,0,12,0
383,2011,,19.586067,2.9748185,0,12,1
383,2012,,15.879697,2.7650414,0,12,1
383,2013,,14.441054,2.6700752,0,12,1
383,2014,,14.008636,2.6396739,0,12,1
383,2015,,9.4319935,2.2441075,0,12,1
383,2016,,24.280977,3.1896932,0,12,1
408,2011,2015,1.7449169,.55670696,0,11,0
408,2012,2015,2.0430923,.71446443,0,11,0
408,2013,2015,1.7362546,.55173022,0,11,0
408,2014,2015,2.0444045,.71510661,0,11,0
408,2015,2015,2.134531,.75824696,1,11,0
408,2016,2015,1.8037325,.58985811,1,11,0
424,2011,,95.686806,4.5610805,0,12,0
424,2012,,103.5509,4.6400633,0,12,0
424,2013,,94.190567,4.54532,0,12,0
424,2014,,93.671814,4.5397973,0,12,0
424,2015,,64.741196,4.1703978,0,12,0
424,2016,,77.176544,4.3460956,0,12,0
464,2011,,11.204221,2.4162905,0,13,0
464,2012,,6.7860932,1.9148754,0,13,0
464,2013,,8.5780363,2.149205,0,13,0
464,2014,,10.018189,2.3044024,0,13,0
464,2015,,8.3868589,2.1266661,0,13,0
464,2016,,13.043215,2.5682681,0,13,0
483,2011,2014,8.7360601,2.1674592,0,12,0
483,2012,2014,6.7020111,1.9024076,0,12,0
483,2013,2014,10.799063,2.3794594,0,12,0
483,2014,2014,9.494669,2.2507305,1,12,0
483,2015,2014,8.6574821,2.1584239,1,12,0
483,2016,2014,8.7075987,2.164196,1,12,0
556,2011,,20.750937,3.0325913,0,14,0
556,2012,,26.297453,3.2694721,0,14,0
556,2013,,28.072346,3.334785,0,14,0
556,2014,,46.866234,3.8472974,0,14,0
556,2015,,30.050226,3.4028702,0,14,0
556,2016,,34.665993,3.5457592,0,14,0
560,2011,,22.680132,3.1214893,0,12,0
560,2012,,18.016054,2.8912632,0,12,0
560,2013,,29.768549,3.3934524,0,12,0
560,2014,,25.421135,3.2355809,0,12,0
560,2015,,22.813391,3.1273477,0,12,0
560,2016,,20.84026,3.0368867,0,12,0
569,2011,,21.100609,3.0493019,0,12,0
569,2012,,26.65867,3.2831144,0,12,0
569,2013,,31.498861,3.4499514,0,12,0
569,2014,,25.973803,3.2570884,0,12,0
569,2015,,25.105959,3.2231052,0,12,0
569,2016,,25.526047,3.2396994,0,12,0
583,2011,2014,26.644171,3.2825704,0,12,0
583,2012,2014,21.806242,3.0821962,0,12,0
583,2013,2014,18.871302,2.9376423,0,12,0
583,2014,2014,31.153147,3.4389153,1,12,0
583,2015,2014,24.419905,3.1953986,1,12,0
583,2016,2014,18.604181,2.9233863,1,12,0
647,2011,2014,13.298218,2.58763,0,12,0
647,2012,2014,9.5261326,2.2540388,0,12,0
647,2013,2014,15.55394,2.744314,0,12,0
647,2014,2014,20.971912,3.043184,1,12,0
647,2015,2014,10.421745,2.3438945,1,12,0
647,2016,2014,16.388363,2.7965715,1,12,0
658,2011,2014,23.285303,3.1478224,0,12,0
658,2012,2014,22.825459,3.1278765,0,12,0
658,2013,2014,20.785206,3.0342414,0,12,0
658,2014,2014,39.445683,3.6749246,1,12,0
658,2015,2014,24.117159,3.1829236,1,12,0
658,2016,2014,27.506554,3.3144243,1,12,0
684,2011,,4.4859786,1.5009567,0,12,0
684,2012,,5.2501945,1.6582651,0,12,0
684,2013,,4.718976,1.5515919,0,12,0
684,2014,,3.7676229,1.3264443,0,12,0
684,2015,,3.716536,1.3127921,0,12,0
684,2016,,4.0504532,1.3988287,0,12,0
711,2011,,26.337303,3.2709863,0,11,0
711,2012,,24.005123,3.1782672,0,11,0
711,2013,,19.189045,2.9543395,0,11,0
711,2014,,19.468248,2.9687848,0,11,0
711,2015,,13.538209,2.605516,0,11,0
711,2016,,21.751268,3.0796721,0,11,0
729,2011,2014,3.4114006,1.2271229,0,13,0
729,2012,2014,5.744421,1.7482291,0,13,0
729,2013,2014,4.9182363,1.59295,0,13,0
729,2014,2014,4.5943942,1.5248369,1,13,0
729,2015,2014,3.8437014,1.3464358,1,13,0
729,2016,2014,4.1686497,1.4275922,1,13,0
731,2011,,33.089085,3.4992034,0,12,0
731,2012,,37.180634,3.615788,0,12,0
731,2013,,51.250732,3.9367299,0,12,0
731,2014,,46.821301,3.8463383,0,12,0
731,2015,,39.631153,3.6796155,0,12,0
731,2016,,45.900833,3.8264832,0,12,0
732,2011,,25.18564,3.226274,0,12,0
732,2012,,22.872324,3.1299276,0,12,0
