stfips,year,_nfd,post,asmrs,pcinc,asmrh,cases,weight,copop
1,1964,1971,0,35.639885,12406.17853662643,5.0073409,.0123122425630723,1715156,1715155.996845245
1,1965,1971,0,41.543755,13070.20673816863,4.4253674,.0104194065561726,1715156,1725186.225315094
1,1966,1971,0,34.252335,13526.66321667247,4.8748188,.0099000970903621,1715156,1735218.67276001
1,1967,1971,0,34.465023,13918.18982272619,5.3620143,.0099746919519978,1715156,1745250.220970154
1,1968,1971,0,40.440105,14684.80868232547,4.6437593,.0124006586041361,1715156,1755283.115318298
1,1969,1971,0,42.49012,15638.87627039891,5.2969756,.0150067561086325,1715156,1765316
1,1970,1971,0,44.239075,16222.94837608792,4.716939,.0197031418165569,1715156,1787363
1,1971,1971,1,49.914665,16875.42994431805,4.9925036,.022737450987761,1715156,1809412
1,1972,1971,1,47.203133,17976.75511717326,5.1870227,.0235559807797221,1715156,1831191
1,1973,1971,1,41.033073,18808.24655590135,5.085546,.0250315253296042,1715156,1853536
1,1974,1971,1,46.202812,18726.04400578949,5.320889,.0243360186699903,1715156,1879094
1,1975,1971,1,39.240166,19007.46993520048,5.5091386,.0268781372903596,1715156,1907830
1,1976,1971,1,48.391911,19851.20047700928,6.2756543,.0273226834731119,1715156,1938304
1,1977,1971,1,40.519447,20306.10689147123,5.924365,.0285630721773349,1715156,1962569
1,1978,1971,1,33.858315,21214.73154628612,4.3013659,.0293526663130514,1715156,1990864
1,1979,1971,1,36.346275,21322.09982298408,4.907836,.0302799180944335,1715156,2009957
1,1980,1971,1,32.302937,20977.43503740736,6.8211579,.0311779586094851,1715156,2025456
1,1981,1971,1,42.33469,21173.20015514267,4.5391192,.0293714646050425,1715156,2036194
1,1982,1971,1,37.649712,21060.71497436975,4.5884314,.0268405297424525,1715156,2041319
1,1983,1971,1,41.425751,21586.77473642366,4.4126906,.0268857582026495,1715156,2045203
1,1984,1971,1,44.171021,22701.93857484657,4.5121655,.0265617157720121,1715156,2054834
1,1985,1971,1,39.968536,23520.066898395,4.72227,.0250020521807061,1715156,2066907
1,1986,1971,1,43.817947,24343.55988673227,4.0160513,.0237620567527847,1715156,2076879
1,1987,1971,1,42.043743,24777.57970176969,4.8329034,.0223498300866319,1715156,2089300
1,1988,1971,1,44.654118,25658.8587797851,4.9995065,.0215864961775252,1715156,2093975
